time(s)	cellId	rnti	lcid	packetSize
0.522	2	2	4	1282
0.522	2	1	4	1282
0.523	2	2	4	1282
0.523	2	1	4	1282
0.524	2	2	4	1282
0.524	2	1	4	1282
0.525	2	2	4	1282
0.525	2	1	4	1282
0.526	2	2	4	1282
0.526	2	1	4	1282
0.527	2	2	4	1282
0.527	2	1	4	1282
0.528	2	2	4	1282
0.528	2	1	4	1282
0.529	2	2	4	1282
0.529	2	1	4	1282
0.53	2	2	4	1282
0.53	2	1	4	1282
0.531	2	2	4	1282
0.531	2	1	4	1282
0.532	2	2	4	1282
0.532	2	1	4	1282
0.533	2	2	4	1282
0.533	2	1	4	1282
0.534	2	2	4	1282
0.534	2	1	4	1282
0.535	2	2	4	1282
0.535	2	1	4	1282
0.536	2	2	4	1282
0.536	2	1	4	1282
0.537	2	2	4	1282
0.537	2	1	4	1282
0.538	2	2	4	1282
0.538	2	1	4	1282
0.539	2	2	4	1282
0.539	2	1	4	1282
0.54	2	2	4	1282
0.54	2	1	4	1282
0.541	2	2	4	1282
0.541	2	1	4	1282
0.542	2	2	4	1282
0.542	2	1	4	1282
0.543	2	2	4	1282
0.543	2	1	4	1282
0.544	2	2	4	1282
0.544	2	1	4	1282
0.545	2	2	4	1282
0.545	2	1	4	1282
0.546	2	2	4	1282
0.546	2	1	4	1282
0.547	2	2	4	1282
0.547	2	1	4	1282
0.548	2	2	4	1282
0.548	2	1	4	1282
0.549	2	2	4	1282
0.549	2	1	4	1282
0.55	2	2	4	1282
0.55	2	1	4	1282
0.551	2	2	4	1282
0.551	2	1	4	1282
0.552	2	2	4	1282
0.552	2	1	4	1282
0.553	2	2	4	1282
0.553	2	1	4	1282
0.554	2	2	4	1282
0.554	2	1	4	1282
0.555	2	2	4	1282
0.555	2	1	4	1282
0.556	2	2	4	1282
0.556	2	1	4	1282
0.557	2	2	4	1282
0.557	2	1	4	1282
0.558	2	2	4	1282
0.558	2	1	4	1282
0.559	2	2	4	1282
0.559	2	1	4	1282
0.56	2	2	4	1282
0.56	2	1	4	1282
0.561	2	2	4	1282
0.561	2	1	4	1282
0.562	2	2	4	1282
0.562	2	1	4	1282
0.563	2	2	4	1282
0.563	2	1	4	1282
0.564	2	2	4	1282
