-40	-70	1.5	-20.0749	-20.0749	-98.2987	0	
-40	-67.6	1.5	-21.9805	-21.9805	-118.739	0	
-40	-65.2	1.5	-0.591836	-0.591836	-111.489	0	
-40	-62.8	1.5	-17.564	-17.564	-116.37	0	
-40	-60.4	1.5	-15.9101	-15.9101	-114.649	0	
-40	-58	1.5	-10.1461	-10.1461	-113.66	0	
-40	-55.6	1.5	-17.2606	-17.2606	-106.906	0	
-40	-53.2	1.5	-7.71034	-7.71034	-113.114	0	
-40	-50.8	1.5	-16.0885	-16.0885	-92.3436	0	
-40	-48.4	1.5	-15.8706	-15.8706	-110.048	0	
-40	-46	1.5	-11.309	-11.309	-113.014	0	
-40	-43.6	1.5	-14.7527	-14.7527	-109.789	0	
-40	-41.2	1.5	-14.3651	-14.3651	-102.417	0	
-40	-38.8	1.5	-14.3518	-14.3518	-112.384	0	
-40	-36.4	1.5	4.13459	4.13459	-106.965	0	
-40	-34	1.5	-12.7512	-12.7512	-108.955	0	
-40	-31.6	1.5	-13.464	-13.464	-107.741	0	
-40	-29.2	1.5	5.11168	5.11168	-104.687	0	
-40	-26.8	1.5	-15.076	-15.076	-105.325	0	
-40	-24.4	1.5	-12.7942	-12.7942	-107.467	0	
-40	-22	1.5	-10.5225	-10.5225	-101.919	0	
-40	-19.6	1.5	-10.238	-10.238	-106.166	0	
-40	-17.2	1.5	-10.2958	-10.2958	-103.939	0	
-40	-14.8	1.5	-8.87678	-8.87678	-104.241	0	
-40	-12.4	1.5	-7.33308	-7.33308	-106.916	0	
-40	-10	1.5	-4.49861	-4.49861	-108.085	0	
-40	-7.6	1.5	-10.0054	-10.0054	-105.2	0	
-40	-5.2	1.5	-8.65658	-8.65658	-103.134	0	
-40	-2.8	1.5	-0.636076	-0.636076	-105.352	0	
-40	-0.4	1.5	-7.87287	-7.87287	-103.584	0	
-40	2	1.5	4.29869	4.29869	-106.677	0	
-40	4.4	1.5	-5.69659	-5.69659	-100.859	0	
-40	6.8	1.5	-8.21107	-8.21107	-104.752	0	
-40	9.2	1.5	-8.285	-8.285	-87.6449	0	
-40	11.6	1.5	-9.92062	-9.92062	-105.113	0	
-40	14	1.5	-8.5607	-8.5607	-101.747	0	
-40	16.4	1.5	-11.4717	-11.4717	-106.178	0	
-40	18.8	1.5	-10.7883	-10.7883	-105.494	0	
-40	21.2	1.5	-13.2112	-13.2112	-106.635	0	
-40	23.6	1.5	-13.1701	-13.1701	-106.989	0	
-40	26	1.5	12.6136	12.6136	-105.635	0	
-40	28.4	1.5	-12.4524	-12.4524	-99.2521	0	
-40	30.8	1.5	-1.08982	-1.08982	-107.999	0	
-40	33.2	1.5	-10.8265	-10.8265	-98.317	0	
-40	35.6	1.5	-12.8773	-12.8773	-104.864	0	
-40	38	1.5	-17.1198	-17.1198	-109.611	0	
-40	40.4	1.5	-14.286	-14.286	-108.692	0	
-40	42.8	1.5	7.87079	7.87079	-106.635	0	
-40	45.2	1.5	-14.8181	-14.8181	-109.138	0	
-40	47.6	1.5	-15.9183	-15.9183	-110.713	0	
-40	50	1.5	-15.71	-15.71	-112.927	0	
-37.6	-70	1.5	-14.4425	-14.4425	-113.474	0	
-37.6	-67.6	1.5	-5.54249	-5.54249	-117.921	0	
-37.6	-65.2	1.5	-18.337	-18.337	-115.421	0	
-37.6	-62.8	1.5	3.23855	3.23855	-114.383	0	
-37.6	-60.4	1.5	-8.77922	-8.77922	-111.145	0	
-37.6	-58	1.5	-0.76867	-0.76867	-96.0083	0	
-37.6	-55.6	1.5	-17.8801	-17.8801	-111.255	0	
-37.6	-53.2	1.5	-6.17587	-6.17587	-104.675	0	
-37.6	-50.8	1.5	-16.4173	-16.4173	-113.117	0	
-37.6	-48.4	1.5	-11.8966	-11.8966	-112.108	0	
-37.6	-46	1.5	-15.6472	-15.6472	-100.007	0	
-37.6	-43.6	1.5	-11.1082	-11.1082	-94.035	0	
-37.6	-41.2	1.5	-13.4773	-13.4773	-110.063	0	
-37.6	-38.8	1.5	-13.3832	-13.3832	-99.5753	0	
-37.6	-36.4	1.5	-11.9802	-11.9802	-89.3455	0	
-37.6	-34	1.5	-10.5767	-10.5767	-100.452	0	
-37.6	-31.6	1.5	-13.7011	-13.7011	-105.084	0	
-37.6	-29.2	1.5	-12.7216	-12.7216	-88.7058	0	
-37.6	-26.8	1.5	-10.2763	-10.2763	-105.392	0	
-37.6	-24.4	1.5	-9.83883	-9.83883	-105.316	0	
-37.6	-22	1.5	-8.87097	-8.87097	-105.624	0	
-37.6	-19.6	1.5	-13.0188	-13.0188	-105.513	0	
-37.6	-17.2	1.5	-10.7483	-10.7483	-101.145	0	
-37.6	-14.8	1.5	-7.16317	-7.16317	-104.828	0	
-37.6	-12.4	1.5	-7.24427	-7.24427	-103.174	0	
-37.6	-10	1.5	-5.56268	-5.56268	-103.131	0	
-37.6	-7.6	1.5	-6.31651	-6.31651	-104.577	0	
-37.6	-5.2	1.5	-6.31942	-6.31942	-104.789	0	
-37.6	-2.8	1.5	-4.54996	-4.54996	-102.338	0	
-37.6	-0.4	1.5	-8.47058	-8.47058	-104.136	0	
-37.6	2	1.5	-6.21501	-6.21501	-99.7938	0	
-37.6	4.4	1.5	-10.5696	-10.5696	-100.541	0	
-37.6	6.8	1.5	-6.96902	-6.96902	-102.583	0	
-37.6	9.2	1.5	-6.15219	-6.15219	-103.675	0	
-37.6	11.6	1.5	-8.04658	-8.04658	-103.476	0	
-37.6	14	1.5	-9.88257	-9.88257	-105.127	0	
-37.6	16.4	1.5	-5.56483	-5.56483	-104.955	0	
-37.6	18.8	1.5	6.73395	6.73395	-106.914	0	
-37.6	21.2	1.5	-9.5952	-9.5952	-104.289	0	
-37.6	23.6	1.5	-7.8143	-7.8143	-104.369	0	
-37.6	26	1.5	-9.82893	-9.82893	-107.945	0	
-37.6	28.4	1.5	-10.8134	-10.8134	-102.73	0	
-37.6	30.8	1.5	-9.55447	-9.55447	-109.167	0	
-37.6	33.2	1.5	4.73288	4.73288	-106.966	0	
-37.6	35.6	1.5	-12.8878	-12.8878	-108.483	0	
-37.6	38	1.5	-15.3137	-15.3137	-108.049	0	
-37.6	40.4	1.5	-13.6145	-13.6145	-110.765	0	
-37.6	42.8	1.5	-10.1287	-10.1287	-111.642	0	
-37.6	45.2	1.5	-14.7969	-14.7969	-102.024	0	
-37.6	47.6	1.5	-17.1329	-17.1329	-111.094	0	
