Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	corrupt	TBler
0.453429	UL	45	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.453429	UL	45	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.453929	UL	45	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.453929	UL	45	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.457429	UL	45	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.457429	UL	45	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.457929	UL	45	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.457929	UL	45	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.458429	UL	45	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.458429	UL	45	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.458929	UL	45	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.458929	UL	45	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.462429	UL	46	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.462429	UL	46	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.462929	UL	46	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.462929	UL	46	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.463429	UL	46	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.463429	UL	46	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.463929	UL	46	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.463929	UL	46	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.467429	UL	46	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.467429	UL	46	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.467929	UL	46	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.467929	UL	46	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.468429	UL	46	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.468429	UL	46	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.468929	UL	46	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.468929	UL	46	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.472429	UL	47	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.472429	UL	47	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.472929	UL	47	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.472929	UL	47	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.473429	UL	47	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.473429	UL	47	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.473929	UL	47	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.473929	UL	47	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.477429	UL	47	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.477429	UL	47	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.477929	UL	47	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.477929	UL	47	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.478429	UL	47	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.478429	UL	47	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.478929	UL	47	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.478929	UL	47	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.482429	UL	48	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.482429	UL	48	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.482929	UL	48	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.482929	UL	48	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.483429	UL	48	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.483429	UL	48	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.483929	UL	48	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.483929	UL	48	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.487429	UL	48	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.487429	UL	48	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.487929	UL	48	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.487929	UL	48	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.488429	UL	48	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.488429	UL	48	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.488929	UL	48	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.488929	UL	48	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.492429	UL	49	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.492429	UL	49	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.492929	UL	49	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.492929	UL	49	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.493429	UL	49	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.493429	UL	49	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.493929	UL	49	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.493929	UL	49	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.497429	UL	49	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.497429	UL	49	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.497929	UL	49	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.497929	UL	49	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.498429	UL	49	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.498429	UL	49	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.498929	UL	49	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.498929	UL	49	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.502429	UL	50	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.502429	UL	50	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.502929	UL	50	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.502929	UL	50	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.503429	UL	50	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.503429	UL	50	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.503929	UL	50	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.503929	UL	50	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.507429	UL	50	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.507429	UL	50	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.507929	UL	50	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.507929	UL	50	7	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.508429	UL	50	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.508429	UL	50	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.508929	UL	50	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.508929	UL	50	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.512429	UL	51	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.512429	UL	51	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.512929	UL	51	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.512929	UL	51	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.513857	UL	51	3	0	0	12	1	01	4809	28	1	0	68.7356	0	0	
0.513857	UL	51	3	0	0	12	1	01	4809	28	1	0	68.7356	0	0	
0.517857	UL	51	7	0	0	12	1	02	4809	28	1	0	67.7048	0	0	
0.517857	UL	51	7	0	0	12	1	02	4809	28	1	0	67.7048	0	0	
0.518429	UL	51	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.518429	UL	51	8	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.518929	UL	51	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.518929	UL	51	8	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.522429	UL	52	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.522429	UL	52	2	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.522929	UL	52	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.522929	UL	52	2	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.523429	UL	52	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.523429	UL	52	3	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.523929	UL	52	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.523929	UL	52	3	0	6	7	1	02	2806	28	1	0	67.7048	0	0	
0.527429	UL	52	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
0.527429	UL	52	7	0	0	6	1	01	2404	28	1	0	68.7356	0	0	
