time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.513029	2	2	4	1282	0.0310286
0.513029	2	2	4	1282	0.0300286
0.513957	2	1	4	1282	0.0379571
0.513957	2	1	4	1282	0.0369571
0.513957	2	1	4	1282	0.0359571
0.513957	2	1	4	1282	0.0349571
0.517957	2	2	4	1282	0.0339571
0.517957	2	2	4	1282	0.0329571
0.517957	2	2	4	1282	0.0319571
0.517957	2	2	4	1282	0.0309571
0.518529	2	1	4	1282	0.0385286
0.518529	2	1	4	1282	0.0375286
0.519029	2	2	4	1282	0.0310286
0.519029	2	2	4	1282	0.0300286
0.522529	2	1	4	1282	0.0405286
0.522529	2	1	4	1282	0.0395286
0.523029	2	2	4	1282	0.0330286
0.523029	2	2	4	1282	0.0320286
0.523029	2	2	4	1282	0.0310286
0.523529	2	1	4	1282	0.0395286
0.523529	2	1	4	1282	0.0385286
0.524029	2	2	4	1282	0.0310286
0.524029	2	2	4	1282	0.0300286
0.527529	2	1	4	1282	0.0415286
0.527529	2	1	4	1282	0.0405286
0.528029	2	2	4	1282	0.0330286
0.528029	2	2	4	1282	0.0320286
0.528529	2	1	4	1282	0.0405286
0.529029	2	2	4	1282	0.0320286
0.529029	2	2	4	1282	0.0310286
0.532529	2	1	4	1282	0.0435286
0.532529	2	1	4	1282	0.0425286
0.533029	2	2	4	1282	0.0340286
0.533029	2	2	4	1282	0.0330286
0.533529	2	1	4	1282	0.0425286
0.533529	2	1	4	1282	0.0415286
0.534029	2	2	4	1282	0.0330286
0.534029	2	2	4	1282	0.0320286
0.537529	2	1	4	1282	0.0445286
0.537529	2	1	4	1282	0.0435286
0.538029	2	2	4	1282	0.0350286
0.538029	2	2	4	1282	0.0340286
0.538029	2	2	4	1282	0.0330286
0.538529	2	1	4	1282	0.0435286
0.538529	2	1	4	1282	0.0425286
0.539029	2	2	4	1282	0.0330286
0.539029	2	2	4	1282	0.0320286
0.542529	2	1	4	1282	0.0455286
0.542529	2	1	4	1282	0.0445286
0.543029	2	2	4	1282	0.0350286
0.543029	2	2	4	1282	0.0340286
0.543529	2	1	4	1282	0.0445286
0.543529	2	1	4	1282	0.0435286
0.544029	2	2	4	1282	0.0340286
0.544029	2	2	4	1282	0.0330286
0.547529	2	1	4	1282	0.0465286
0.548029	2	2	4	1282	0.0360286
0.548029	2	2	4	1282	0.0350286
0.548529	2	1	4	1282	0.0465286
0.548529	2	1	4	1282	0.0455286
0.549029	2	2	4	1282	0.0350286
0.549029	2	2	4	1282	0.0340286
0.549029	2	2	4	1282	0.0330286
0.552529	2	1	4	1282	0.0485286
0.552529	2	1	4	1282	0.0475286
0.553029	2	2	4	1282	0.0360286
0.553029	2	2	4	1282	0.0350286
0.553529	2	1	4	1282	0.0475286
0.553529	2	1	4	1282	0.0465286
0.554029	2	2	4	1282	0.0350286
0.554029	2	2	4	1282	0.0340286
0.557529	2	1	4	1282	0.0495286
0.557529	2	1	4	1282	0.0485286
0.558029	2	2	4	1282	0.0370286
0.558029	2	2	4	1282	0.0360286
0.558529	2	1	4	1282	0.0485286
0.558529	2	1	4	1282	0.0475286
0.559029	2	2	4	1282	0.0360286
0.559029	2	2	4	1282	0.0350286
0.562529	2	1	4	1282	0.0505286
0.562529	2	1	4	1282	0.0495286
0.563029	2	2	4	1282	0.0380286
0.563029	2	2	4	1282	0.0370286
0.563529	2	1	4	1282	0.0495286
0.564029	2	2	4	1282	0.0370286
0.564029	2	2	4	1282	0.0360286
0.564029	2	2	4	1282	0.0350286
0.567529	2	1	4	1282	0.0525286
0.567529	2	1	4	1282	0.0515286
0.568029	2	2	4	1282	0.0380286
0.568029	2	2	4	1282	0.0370286
0.568529	2	1	4	1282	0.0515286
0.568529	2	1	4	1282	0.0505286
0.569029	2	2	4	1282	0.0370286
0.569029	2	2	4	1282	0.0360286
0.572529	2	1	4	1282	0.0535286
0.572529	2	1	4	1282	0.0525286
0.573029	2	2	4	1282	0.0390286
0.573029	2	2	4	1282	0.0380286
0.573529	2	1	4	1282	0.0525286
0.573529	2	1	4	1282	0.0515286
0.574029	2	2	4	1282	0.0380286
0.574029	2	2	4	1282	0.0370286
0.577529	2	1	4	1282	0.0545286
0.577529	2	1	4	1282	0.0535286
0.578029	2	2	4	1282	0.0400286
0.578029	2	2	4	1282	0.0390286
0.578529	2	1	4	1282	0.0535286
0.578529	2	1	4	1282	0.0525286
0.579029	2	2	4	1282	0.0390286
0.579029	2	2	4	1282	0.0380286
0.579029	2	2	4	1282	0.0370286
0.582529	2	1	4	1282	0.0555286
0.582529	2	1	4	1282	0.0545286
0.583029	2	2	4	1282	0.0400286
0.583029	2	2	4	1282	0.0390286
0.583529	2	1	4	1282	0.0545286
0.584029	2	2	4	1282	0.0390286
0.584029	2	2	4	1282	0.0380286
0.587529	2	1	4	1282	0.0575286
0.587529	2	1	4	1282	0.0565286
0.588029	2	2	4	1282	0.0410286
0.588029	2	2	4	1282	0.0400286
0.588529	2	1	4	1282	0.0565286
0.588529	2	1	4	1282	0.0555286
0.589029	2	2	4	1282	0.0400286
0.589029	2	2	4	1282	0.0390286
0.592529	2	1	4	1282	0.0585286
0.592529	2	1	4	1282	0.0575286
0.593029	2	2	4	1282	0.0420286
