time(s)	cellId	rnti	lcid	packetSize
0.604	2	1	5	8247
0.607	2	1	4	8934
0.607	2	1	5	8934
0.608	2	1	4	8934
0.608	2	1	5	8934
0.609	2	1	4	8247
0.609	2	1	5	8247
0.612	2	1	4	8934
0.612	2	1	5	8934
0.613	2	1	4	8934
0.613	2	1	5	8934
0.614	2	1	4	8247
0.614	2	1	5	8247
0.617	2	1	4	8934
0.617	2	1	5	8934
0.618	2	1	4	8934
0.618	2	1	5	8934
0.619	2	1	4	8247
0.619	2	1	5	8247
0.622	2	1	4	8934
0.622	2	1	5	8934
0.623	2	1	4	8934
0.623	2	1	5	8934
0.624	2	1	4	8247
0.624	2	1	5	8247
0.627	2	1	4	8934
0.627	2	1	5	8934
0.628	2	1	4	8934
0.628	2	1	5	8934
0.629	2	1	4	8247
0.629	2	1	5	8247
0.632	2	1	4	8934
0.632	2	1	5	8934
0.633	2	1	4	8934
0.633	2	1	5	8934
0.634	2	1	4	8247
0.634	2	1	5	8247
0.637	2	1	4	8934
0.637	2	1	5	8934
0.638	2	1	4	8934
0.638	2	1	5	8934
0.639	2	1	4	8247
0.639	2	1	5	8247
0.642	2	1	4	8934
0.642	2	1	5	8934
0.643	2	1	4	8934
0.643	2	1	5	8934
0.644	2	1	4	8247
0.644	2	1	5	8247
0.647	2	1	4	8934
0.647	2	1	5	8934
0.648	2	1	4	8934
0.648	2	1	5	8934
0.649	2	1	4	8247
0.649	2	1	5	8247
0.652	2	1	4	8934
0.652	2	1	5	8934
0.653	2	1	4	8934
0.653	2	1	5	8934
0.654	2	1	4	8247
0.654	2	1	5	8247
0.657	2	1	4	8934
0.657	2	1	5	8934
0.658	2	1	4	8934
0.658	2	1	5	8934
0.659	2	1	4	8247
0.659	2	1	5	8247
0.662	2	1	4	8934
0.662	2	1	5	8934
0.663	2	1	4	8934
0.663	2	1	5	8934
0.664	2	1	4	8247
0.664	2	1	5	8247
0.667	2	1	4	8934
0.667	2	1	5	8934
0.668	2	1	4	8934
0.668	2	1	5	8934
0.669	2	1	4	8247
0.669	2	1	5	8247
0.672	2	1	4	8934
0.672	2	1	5	8934
0.673	2	1	4	8934
0.673	2	1	5	8934
0.674	2	1	4	8247
0.674	2	1	5	8247
0.677	2	1	4	8934
0.677	2	1	5	8934
0.678	2	1	4	8934
0.678	2	1	5	8934
0.679	2	1	4	8247
0.679	2	1	5	8247
0.682	2	1	4	8934
0.682	2	1	5	8934
0.683	2	1	4	8934
0.683	2	1	5	8934
0.684	2	1	4	8247
0.684	2	1	5	8247
0.687	2	1	4	8934
0.687	2	1	5	8934
0.688	2	1	4	8934
0.688	2	1	5	8934
0.689	2	1	4	8247
0.689	2	1	5	8247
0.692	2	1	4	8934
0.692	2	1	5	8934
0.693	2	1	4	8934
0.693	2	1	5	8934
0.694	2	1	4	8247
0.694	2	1	5	8247
0.697	2	1	4	8934
0.697	2	1	5	8934
0.698	2	1	4	8934
0.698	2	1	5	8934
0.699	2	1	4	8247
0.699	2	1	5	8247
0.702	2	1	4	8934
0.702	2	1	5	8934
0.703	2	1	4	8934
0.703	2	1	5	8934
0.704	2	1	4	8247
0.704	2	1	5	8247
0.707	2	1	4	8934
0.707	2	1	5	8934
0.708	2	1	4	8934
0.708	2	1	5	8934
0.709	2	1	4	8247
0.709	2	1	5	8247
0.712	2	1	4	8934
0.712	2	1	5	8934
0.713	2	1	4	8934
0.713	2	1	5	8934
0.714	2	1	4	8247
0.714	2	1	5	8247
0.717	2	1	4	8934
0.717	2	1	5	8934
0.718	2	1	4	8934
0.718	2	1	5	8934
0.719	2	1	4	8247
0.719	2	1	5	8247
0.722	2	1	4	8934
0.722	2	1	5	8934
0.723	2	1	4	8934
0.723	2	1	5	8934
0.724	2	1	4	8247
0.724	2	1	5	8247
0.727	2	1	4	8934
0.727	2	1	5	8934
0.728	2	1	4	8934
0.728	2	1	5	8934
0.729	2	1	4	8247
0.729	2	1	5	8247
0.732	2	1	4	8934
0.732	2	1	5	8934
0.733	2	1	4	8934
0.733	2	1	5	8934
0.734	2	1	4	8247
0.734	2	1	5	8247
0.737	2	1	4	8934
0.737	2	1	5	8934
0.738	2	1	4	8934
0.738	2	1	5	8934
0.739	2	1	4	8247
0.739	2	1	5	8247
0.742	2	1	4	8934
0.742	2	1	5	8934
0.743	2	1	4	8934
0.743	2	1	5	8934
0.744	2	1	4	8247
0.744	2	1	5	8247
0.747	2	1	4	8934
0.747	2	1	5	8934
0.748	2	1	4	8934
0.748	2	1	5	8934
0.749	2	1	4	8247
0.749	2	1	5	8247
0.752	2	1	4	8934
0.752	2	1	5	8934
0.753	2	1	4	8934
0.753	2	1	5	8934
0.754	2	1	4	8247
0.754	2	1	5	8247
0.757	2	1	4	8934
0.757	2	1	5	8934
0.758	2	1	4	8934
0.758	2	1	5	8934
0.759	2	1	4	8247
0.759	2	1	5	8247
0.762	2	1	4	8934
0.762	2	1	5	8934
0.763	2	1	4	8934
0.763	2	1	5	8934
0.764	2	1	4	8247
0.764	2	1	5	8247
0.767	2	1	4	8934
0.767	2	1	5	8934
0.768	2	1	4	8934
0.768	2	1	5	8934
0.769	2	1	4	8247
0.769	2	1	5	8247
0.772	2	1	4	8934
0.772	2	1	5	8934
0.773	2	1	4	8934
0.773	2	1	5	8934
0.774	2	1	4	8247
0.774	2	1	5	8247
0.777	2	1	4	8934
0.777	2	1	5	8934
0.778	2	1	4	8934
0.778	2	1	5	8934
0.779	2	1	4	8247
0.779	2	1	5	8247
0.782	2	1	4	8934
0.782	2	1	5	8934
0.783	2	1	4	8934
0.783	2	1	5	8934
0.784	2	1	4	8247
0.784	2	1	5	8247
0.787	2	1	4	8934
0.787	2	1	5	8934
0.788	2	1	4	8934
0.788	2	1	5	8934
0.789	2	1	4	8247
0.789	2	1	5	8247
0.792	2	1	4	8934
0.792	2	1	5	8934
0.793	2	1	4	8934
0.793	2	1	5	8934
0.794	2	1	4	8247
0.794	2	1	5	8247
0.797	2	1	4	8934
0.797	2	1	5	8934
0.798	2	1	4	8934
0.798	2	1	5	8934
0.799	2	1	4	8247
0.799	2	1	5	8247
0.802	2	1	4	8934
0.802	2	1	5	8934
0.803	2	1	4	8934
0.803	2	1	5	8934
0.804	2	1	4	8247
0.804	2	1	5	8247
0.807	2	1	4	8934
0.807	2	1	5	8934
0.808	2	1	4	8934
0.808	2	1	5	8934
0.809	2	1	4	8247
0.809	2	1	5	8247
0.812	2	1	4	8934
0.812	2	1	5	8934
0.813	2	1	4	8934
0.813	2	1	5	8934
0.814	2	1	4	8247
0.814	2	1	5	8247
0.817	2	1	4	8934
0.817	2	1	5	8934
0.818	2	1	4	8934
0.818	2	1	5	8934
0.819	2	1	4	8247
0.819	2	1	5	8247
0.822	2	1	4	8934
0.822	2	1	5	8934
0.823	2	1	4	8934
0.823	2	1	5	8934
0.824	2	1	4	8247
0.824	2	1	5	8247
0.827	2	1	4	8934
0.827	2	1	5	8934
0.828	2	1	4	8934
0.828	2	1	5	8934
0.829	2	1	4	8247
0.829	2	1	5	8247
0.832	2	1	4	8934
0.832	2	1	5	8934
0.833	2	1	4	8934
0.833	2	1	5	8934
0.834	2	1	4	8247
0.834	2	1	5	8247
0.837	2	1	4	8934
0.837	2	1	5	8934
0.838	2	1	4	8934
0.838	2	1	5	8934
0.839	2	1	4	8247
0.839	2	1	5	8247
0.842	2	1	4	8934
0.842	2	1	5	8934
0.843	2	1	4	8934
0.843	2	1	5	8934
0.844	2	1	4	8247
0.844	2	1	5	8247
0.847	2	1	4	8934
0.847	2	1	5	8934
0.848	2	1	4	8934
0.848	2	1	5	8934
0.849	2	1	4	8247
0.849	2	1	5	8247
0.852	2	1	4	8934
0.852	2	1	5	8934
0.853	2	1	4	8934
0.853	2	1	5	8934
0.854	2	1	4	8247
0.854	2	1	5	8247
0.857	2	1	4	8934
0.857	2	1	5	8934
0.858	2	1	4	8934
0.858	2	1	5	8934
0.859	2	1	4	8247
0.859	2	1	5	8247
0.862	2	1	4	8934
0.862	2	1	5	8934
0.863	2	1	4	8934
0.863	2	1	5	8934
0.864	2	1	4	8247
0.864	2	1	5	8247
0.867	2	1	4	8934
0.867	2	1	5	8934
0.868	2	1	4	8934
0.868	2	1	5	8934
0.869	2	1	4	8247
0.869	2	1	5	8247
0.872	2	1	4	8934
0.872	2	1	5	8934
0.873	2	1	4	8934
0.873	2	1	5	8934
0.874	2	1	4	8247
0.874	2	1	5	8247
0.877	2	1	4	8934
0.877	2	1	5	8934
0.878	2	1	4	8934
0.878	2	1	5	8934
0.879	2	1	4	8247
0.879	2	1	5	8247
0.882	2	1	4	8934
0.882	2	1	5	8934
0.883	2	1	4	8934
0.883	2	1	5	8934
0.884	2	1	4	8247
0.884	2	1	5	8247
0.887	2	1	4	8934
0.887	2	1	5	8934
0.888	2	1	4	8934
0.888	2	1	5	8934
0.889	2	1	4	8247
0.889	2	1	5	8247
0.892	2	1	4	8934
0.892	2	1	5	8934
0.893	2	1	4	8934
0.893	2	1	5	8934
0.894	2	1	4	8247
0.894	2	1	5	8247
0.897	2	1	4	8934
0.897	2	1	5	8934
0.898	2	1	4	8934
0.898	2	1	5	8934
0.899	2	1	4	8247
0.899	2	1	5	8247
0.902	2	1	4	8934
0.902	2	1	5	8934
0.903	2	1	4	8934
0.903	2	1	5	8934
0.904	2	1	4	8247
0.904	2	1	5	8247
0.907	2	1	4	8934
0.907	2	1	5	8934
0.908	2	1	4	8934
0.908	2	1	5	8934
0.909	2	1	4	8247
0.909	2	1	5	8247
0.912	2	1	4	8934
0.912	2	1	5	8934
0.913	2	1	4	8934
0.913	2	1	5	8934
0.914	2	1	4	8247
0.914	2	1	5	8247
0.917	2	1	4	8934
0.917	2	1	5	8934
0.918	2	1	4	8934
0.918	2	1	5	8934
0.919	2	1	4	8247
0.919	2	1	5	8247
0.922	2	1	4	8934
0.922	2	1	5	8934
0.923	2	1	4	8934
0.923	2	1	5	8934
0.924	2	1	4	8247
0.924	2	1	5	8247
0.927	2	1	4	8934
0.927	2	1	5	8934
0.928	2	1	4	8934
0.928	2	1	5	8934
0.929	2	1	4	8247
0.929	2	1	5	8247
0.932	2	1	4	8934
0.932	2	1	5	8934
0.933	2	1	4	8934
0.933	2	1	5	8934
0.934	2	1	4	8247
0.934	2	1	5	8247
0.937	2	1	4	8934
0.937	2	1	5	8934
0.938	2	1	4	8934
0.938	2	1	5	8934
0.939	2	1	4	8247
0.939	2	1	5	8247
0.942	2	1	4	8934
0.942	2	1	5	8934
0.943	2	1	4	8934
0.943	2	1	5	8934
0.944	2	1	4	8247
0.944	2	1	5	8247
0.947	2	1	4	8934
0.947	2	1	5	8934
0.948	2	1	4	8934
0.948	2	1	5	8934
0.949	2	1	4	8247
0.949	2	1	5	8247
0.952	2	1	4	8934
0.952	2	1	5	8934
0.953	2	1	4	8934
0.953	2	1	5	8934
0.954	2	1	4	8247
0.954	2	1	5	8247
0.957	2	1	4	8934
0.957	2	1	5	8934
0.958	2	1	4	8934
0.958	2	1	5	8934
0.959	2	1	4	8247
0.959	2	1	5	8247
0.962	2	1	4	8934
0.962	2	1	5	8934
0.963	2	1	4	8934
0.963	2	1	5	8934
0.964	2	1	4	8247
0.964	2	1	5	8247
0.967	2	1	4	8934
0.967	2	1	5	8934
0.968	2	1	4	8934
0.968	2	1	5	8934
0.969	2	1	4	8247
0.969	2	1	5	8247
0.972	2	1	4	8934
0.972	2	1	5	8934
0.973	2	1	4	8934
0.973	2	1	5	8934
0.974	2	1	4	8247
0.974	2	1	5	8247
0.977	2	1	4	8934
0.977	2	1	5	8934
0.978	2	1	4	8934
0.978	2	1	5	8934
0.979	2	1	4	8247
0.979	2	1	5	8247
0.982	2	1	4	8934
0.982	2	1	5	8934
0.983	2	1	4	8934
0.983	2	1	5	8934
0.984	2	1	4	8247
0.984	2	1	5	8247
0.987	2	1	4	8934
0.987	2	1	5	8934
0.988	2	1	4	8934
0.988	2	1	5	8934
0.989	2	1	4	8247
0.989	2	1	5	8247
0.992	2	1	4	8934
0.992	2	1	5	8934
0.993	2	1	4	8934
0.993	2	1	5	8934
0.994	2	1	4	8247
0.994	2	1	5	8247
0.997	2	1	4	8934
0.997	2	1	5	8934
0.998	2	1	4	8934
0.998	2	1	5	8934
0.999	2	1	4	8247
0.999	2	1	5	8247
