time(s)	cellId	rnti	lcid	packetSize
0.412202	2	1	4	945
0.412202	2	1	5	945
0.412302	2	1	4	945
0.412302	2	1	5	945
0.412402	2	1	4	945
0.412402	2	1	5	945
0.412502	2	1	4	945
0.412502	2	1	5	945
0.412602	2	1	4	945
0.412602	2	1	5	945
0.412702	2	1	4	945
0.412702	2	1	5	945
0.412802	2	1	4	945
0.412802	2	1	5	945
0.412902	2	1	4	945
0.412902	2	1	5	945
0.413002	2	1	4	945
0.413002	2	1	5	945
0.413102	2	1	4	945
0.413102	2	1	5	945
0.413202	2	1	4	945
0.413202	2	1	5	945
0.413302	2	1	4	945
0.413302	2	1	5	945
0.413402	2	1	4	945
0.413402	2	1	5	945
0.413502	2	1	4	945
0.413502	2	1	5	945
0.413602	2	1	4	945
0.413602	2	1	5	945
0.413702	2	1	4	945
0.413702	2	1	5	945
0.413802	2	1	4	945
0.413802	2	1	5	945
0.413902	2	1	4	945
0.413902	2	1	5	945
0.414002	2	1	4	945
0.414002	2	1	5	945
0.414102	2	1	4	945
0.414102	2	1	5	945
0.414202	2	1	4	945
0.414202	2	1	5	945
0.414302	2	1	4	945
0.414302	2	1	5	945
0.414402	2	1	4	945
0.414402	2	1	5	945
0.414502	2	1	4	945
0.414502	2	1	5	945
0.414602	2	1	4	945
0.414602	2	1	5	945
0.414702	2	1	4	945
0.414702	2	1	5	945
0.414802	2	1	4	945
0.414802	2	1	5	945
0.414902	2	1	4	945
0.414902	2	1	5	945
0.415002	2	1	4	945
0.415002	2	1	5	945
0.415102	2	1	4	945
0.415102	2	1	5	945
0.415202	2	1	4	945
0.415202	2	1	5	945
0.415302	2	1	4	945
0.415302	2	1	5	945
0.415402	2	1	4	945
0.415402	2	1	5	945
0.415502	2	1	4	945
0.415502	2	1	5	945
0.415602	2	1	4	945
0.415602	2	1	5	945
0.415702	2	1	4	945
0.415702	2	1	5	945
0.415802	2	1	4	945
0.415802	2	1	5	945
0.415902	2	1	4	945
0.415902	2	1	5	945
0.416002	2	1	4	945
0.416002	2	1	5	945
0.416102	2	1	4	945
0.416102	2	1	5	945
0.416202	2	1	4	945
0.416202	2	1	5	945
0.416302	2	1	4	945
0.416302	2	1	5	945
0.416402	2	1	4	945
0.416402	2	1	5	945
0.416502	2	1	4	945
0.416502	2	1	5	945
0.416602	2	1	4	945
0.416602	2	1	5	945
0.416702	2	1	4	945
0.416702	2	1	5	945
0.416802	2	1	4	945
0.416802	2	1	5	945
0.416902	2	1	4	945
0.416902	2	1	5	945
0.417002	2	1	4	945
0.417002	2	1	5	945
0.417102	2	1	4	945
0.417102	2	1	5	945
0.417202	2	1	4	945
0.417202	2	1	5	945
0.417302	2	1	4	945
0.417302	2	1	5	945
0.417402	2	1	4	945
0.417402	2	1	5	945
0.417502	2	1	4	945
0.417502	2	1	5	945
0.417602	2	1	4	945
0.417602	2	1	5	945
0.417702	2	1	4	945
0.417702	2	1	5	945
0.417802	2	1	4	945
0.417802	2	1	5	945
0.417902	2	1	4	945
0.417902	2	1	5	945
0.418002	2	1	4	945
0.418002	2	1	5	945
0.418102	2	1	4	945
0.418102	2	1	5	945
0.418202	2	1	4	945
0.418202	2	1	5	945
0.418302	2	1	4	945
0.418302	2	1	5	945
0.418402	2	1	4	945
0.418402	2	1	5	945
0.418502	2	1	4	945
0.418502	2	1	5	945
0.418602	2	1	4	945
0.418602	2	1	5	945
0.418702	2	1	4	945
0.418702	2	1	5	945
0.418802	2	1	4	945
0.418802	2	1	5	945
0.418902	2	1	4	945
0.418902	2	1	5	945
0.419002	2	1	4	945
0.419002	2	1	5	945
0.419102	2	1	4	945
0.419102	2	1	5	945
0.419202	2	1	4	945
0.419202	2	1	5	945
0.419302	2	1	4	945
0.419302	2	1	5	945
0.419402	2	1	4	945
0.419402	2	1	5	945
0.419502	2	1	4	945
0.419502	2	1	5	945
0.419602	2	1	4	945
0.419602	2	1	5	945
0.419702	2	1	4	945
0.419702	2	1	5	945
0.419802	2	1	4	945
0.419802	2	1	5	945
0.419902	2	1	4	945
0.419902	2	1	5	945
0.420002	2	1	4	945
0.420002	2	1	5	945
0.420102	2	1	4	945
0.420102	2	1	5	945
0.420202	2	1	4	945
0.420202	2	1	5	945
0.420302	2	1	4	945
0.420302	2	1	5	945
0.420402	2	1	4	945
0.420402	2	1	5	945
0.420502	2	1	4	945
0.420502	2	1	5	945
0.420602	2	1	4	945
0.420602	2	1	5	945
0.420702	2	1	4	945
0.420702	2	1	5	945
0.420802	2	1	4	945
0.420802	2	1	5	945
0.420902	2	1	4	945
0.420902	2	1	5	945
0.421002	2	1	4	945
0.421002	2	1	5	945
0.421102	2	1	4	945
0.421102	2	1	5	945
0.421202	2	1	4	945
0.421202	2	1	5	945
0.421302	2	1	4	945
0.421302	2	1	5	945
0.421402	2	1	4	945
0.421402	2	1	5	945
0.421502	2	1	4	945
0.421502	2	1	5	945
0.421602	2	1	4	945
0.421602	2	1	5	945
0.421702	2	1	4	945
0.421702	2	1	5	945
0.421802	2	1	4	945
0.421802	2	1	5	945
0.421902	2	1	4	945
0.421902	2	1	5	945
0.422002	2	1	4	945
0.422002	2	1	5	945
0.422102	2	1	4	945
0.422102	2	1	5	945
0.422202	2	1	4	945
0.422202	2	1	5	945
0.422302	2	1	4	945
0.422302	2	1	5	945
0.422402	2	1	4	945
0.422402	2	1	5	945
0.422502	2	1	4	945
0.422502	2	1	5	945
0.422602	2	1	4	945
0.422602	2	1	5	945
0.422702	2	1	4	945
0.422702	2	1	5	945
0.422802	2	1	4	945
0.422802	2	1	5	945
0.422902	2	1	4	945
0.422902	2	1	5	945
0.423002	2	1	4	945
0.423002	2	1	5	945
0.423102	2	1	4	945
0.423102	2	1	5	945
0.423202	2	1	4	945
0.423202	2	1	5	945
0.423302	2	1	4	945
0.423302	2	1	5	945
0.423402	2	1	4	945
0.423402	2	1	5	945
0.423502	2	1	4	945
0.423502	2	1	5	945
0.423602	2	1	4	945
0.423602	2	1	5	945
0.423702	2	1	4	945
0.423702	2	1	5	945
0.423802	2	1	4	945
0.423802	2	1	5	945
0.423902	2	1	4	945
0.423902	2	1	5	945
0.424002	2	1	4	945
0.424002	2	1	5	945
0.424102	2	1	4	945
0.424102	2	1	5	945
0.424202	2	1	4	945
0.424202	2	1	5	945
0.424302	2	1	4	945
0.424302	2	1	5	945
0.424402	2	1	4	945
0.424402	2	1	5	945
0.424502	2	1	4	945
0.424502	2	1	5	945
0.424602	2	1	4	945
0.424602	2	1	5	945
0.424702	2	1	4	945
0.424702	2	1	5	945
0.424802	2	1	4	945
0.424802	2	1	5	945
0.424902	2	1	4	945
0.424902	2	1	5	945
0.425002	2	1	4	945
0.425002	2	1	5	945
0.425102	2	1	4	945
0.425102	2	1	5	945
0.425202	2	1	4	945
0.425202	2	1	5	945
0.425302	2	1	4	945
0.425302	2	1	5	945
0.425402	2	1	4	945
0.425402	2	1	5	945
0.425502	2	1	4	945
0.425502	2	1	5	945
0.425602	2	1	4	945
0.425602	2	1	5	945
0.425702	2	1	4	945
0.425702	2	1	5	945
0.425802	2	1	4	945
0.425802	2	1	5	945
0.425902	2	1	4	945
0.425902	2	1	5	945
0.426002	2	1	4	945
0.426002	2	1	5	945
0.426102	2	1	4	945
0.426102	2	1	5	945
0.426202	2	1	4	945
0.426202	2	1	5	945
0.426302	2	1	4	945
0.426302	2	1	5	945
0.426402	2	1	4	945
0.426402	2	1	5	945
0.426502	2	1	4	945
0.426502	2	1	5	945
0.426602	2	1	4	945
0.426602	2	1	5	945
0.426702	2	1	4	945
0.426702	2	1	5	945
0.426802	2	1	4	945
0.426802	2	1	5	945
0.426902	2	1	4	945
0.426902	2	1	5	945
0.427002	2	1	4	945
0.427002	2	1	5	945
0.427102	2	1	4	945
0.427102	2	1	5	945
0.427202	2	1	4	945
0.427202	2	1	5	945
0.427302	2	1	4	945
0.427302	2	1	5	945
0.427402	2	1	4	945
0.427402	2	1	5	945
0.427502	2	1	4	945
0.427502	2	1	5	945
0.427602	2	1	4	945
0.427602	2	1	5	945
0.427702	2	1	4	945
0.427702	2	1	5	945
0.427802	2	1	4	945
0.427802	2	1	5	945
0.427902	2	1	4	945
0.427902	2	1	5	945
0.428002	2	1	4	945
0.428002	2	1	5	945
0.428102	2	1	4	945
0.428102	2	1	5	945
0.428202	2	1	4	945
0.428202	2	1	5	945
0.428302	2	1	4	945
0.428302	2	1	5	945
0.428402	2	1	4	945
0.428402	2	1	5	945
0.428502	2	1	4	945
0.428502	2	1	5	945
0.428602	2	1	4	945
0.428602	2	1	5	945
0.428702	2	1	4	945
0.428702	2	1	5	945
0.428802	2	1	4	945
0.428802	2	1	5	945
0.428902	2	1	4	945
0.428902	2	1	5	945
0.429002	2	1	4	945
0.429002	2	1	5	945
0.429102	2	1	4	945
0.429102	2	1	5	945
0.429202	2	1	4	945
0.429202	2	1	5	945
0.429302	2	1	4	945
0.429302	2	1	5	945
0.429402	2	1	4	945
0.429402	2	1	5	945
0.429502	2	1	4	945
0.429502	2	1	5	945
0.429602	2	1	4	945
0.429602	2	1	5	945
0.429702	2	1	4	945
0.429702	2	1	5	945
0.429802	2	1	4	945
0.429802	2	1	5	945
0.429902	2	1	4	945
0.429902	2	1	5	945
0.430002	2	1	4	945
0.430002	2	1	5	945
