% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.514	1	0	2	1	51	8	0	0	6	15	1	0	28	2404
0.514	1	0	1	2	51	8	0	6	7	14	1	0	28	2806
0.518	1	0	2	1	52	2	0	0	6	14	1	0	28	2404
0.518	1	0	1	2	52	2	0	6	7	15	1	0	28	2806
0.519	1	0	2	1	52	3	0	0	6	15	1	0	28	2404
0.519	1	0	1	2	52	3	0	6	7	14	1	0	28	2806
0.523	1	0	2	1	52	7	0	0	6	14	1	0	28	2404
0.523	1	0	1	2	52	7	0	6	7	15	1	0	28	2806
0.524	1	0	2	1	52	8	0	0	6	15	1	0	28	2404
0.524	1	0	1	2	52	8	0	6	7	14	1	0	28	2806
0.528	1	0	2	1	53	2	0	0	6	14	1	0	28	2404
0.528	1	0	1	2	53	2	0	6	7	15	1	0	28	2806
0.529	1	0	2	1	53	3	0	0	6	15	1	0	28	2404
0.529	1	0	1	2	53	3	0	6	7	14	1	0	28	2806
0.533	1	0	2	1	53	7	0	0	6	14	1	0	28	2404
0.533	1	0	1	2	53	7	0	6	7	15	1	0	28	2806
0.534	1	0	2	1	53	8	0	0	6	15	1	0	28	2404
0.534	1	0	1	2	53	8	0	6	7	14	1	0	28	2806
0.538	1	0	2	1	54	2	0	0	6	14	1	0	28	2404
0.538	1	0	1	2	54	2	0	6	7	15	1	0	28	2806
0.539	1	0	2	1	54	3	0	0	6	15	1	0	28	2404
0.539	1	0	1	2	54	3	0	6	7	14	1	0	28	2806
0.543	1	0	2	1	54	7	0	0	6	14	1	0	28	2404
0.543	1	0	1	2	54	7	0	6	7	15	1	0	28	2806
0.544	1	0	2	1	54	8	0	0	6	15	1	0	28	2404
0.544	1	0	1	2	54	8	0	6	7	14	1	0	28	2806
0.548	1	0	2	1	55	2	0	0	6	14	1	0	28	2404
0.548	1	0	1	2	55	2	0	6	7	15	1	0	28	2806
0.549	1	0	2	1	55	3	0	0	6	15	1	0	28	2404
0.549	1	0	1	2	55	3	0	6	7	14	1	0	28	2806
0.553	1	0	2	1	55	7	0	0	6	14	1	0	28	2404
0.553	1	0	1	2	55	7	0	6	7	15	1	0	28	2806
0.554	1	0	2	1	55	8	0	0	6	15	1	0	28	2404
0.554	1	0	1	2	55	8	0	6	7	14	1	0	28	2806
0.558	1	0	2	1	56	2	0	0	6	14	1	0	28	2404
0.558	1	0	1	2	56	2	0	6	7	15	1	0	28	2806
0.559	1	0	2	1	56	3	0	0	6	15	1	0	28	2404
0.559	1	0	1	2	56	3	0	6	7	14	1	0	28	2806
0.563	1	0	2	1	56	7	0	0	6	14	1	0	28	2404
0.563	1	0	1	2	56	7	0	6	7	15	1	0	28	2806
0.564	1	0	2	1	56	8	0	0	6	15	1	0	28	2404
0.564	1	0	1	2	56	8	0	6	7	14	1	0	28	2806
0.568	1	0	2	1	57	2	0	0	6	14	1	0	28	2404
0.568	1	0	1	2	57	2	0	6	7	15	1	0	28	2806
0.569	1	0	2	1	57	3	0	0	6	15	1	0	28	2404
0.569	1	0	1	2	57	3	0	6	7	14	1	0	28	2806
0.573	1	0	2	1	57	7	0	0	6	14	1	0	28	2404
0.573	1	0	1	2	57	7	0	6	7	15	1	0	28	2806
0.574	1	0	2	1	57	8	0	0	6	15	1	0	28	2404
0.574	1	0	1	2	57	8	0	6	7	14	1	0	28	2806
0.578	1	0	2	1	58	2	0	0	6	14	1	0	28	2404
0.578	1	0	1	2	58	2	0	6	7	15	1	0	28	2806
0.579	1	0	2	1	58	3	0	0	6	15	1	0	28	2404
0.579	1	0	1	2	58	3	0	6	7	14	1	0	28	2806
0.583	1	0	2	1	58	7	0	0	6	14	1	0	28	2404
0.583	1	0	1	2	58	7	0	6	7	15	1	0	28	2806
0.584	1	0	2	1	58	8	0	0	6	15	1	0	28	2404
0.584	1	0	1	2	58	8	0	6	7	14	1	0	28	2806
0.588	1	0	2	1	59	2	0	0	6	14	1	0	28	2404
0.588	1	0	1	2	59	2	0	6	7	15	1	0	28	2806
0.589	1	0	2	1	59	3	0	0	6	15	1	0	28	2404
0.589	1	0	1	2	59	3	0	6	7	14	1	0	28	2806
0.593	1	0	2	1	59	7	0	0	6	14	1	0	28	2404
0.593	1	0	1	2	59	7	0	6	7	15	1	0	28	2806
0.594	1	0	2	1	59	8	0	0	6	15	1	0	28	2404
0.594	1	0	1	2	59	8	0	6	7	14	1	0	28	2806
0.598	1	0	2	1	60	2	0	0	6	14	1	0	28	2404
0.598	1	0	1	2	60	2	0	6	7	15	1	0	28	2806
0.599	1	0	2	1	60	3	0	0	6	15	1	0	28	2404
0.599	1	0	1	2	60	3	0	6	7	14	1	0	28	2806
0.603	1	0	2	1	60	7	0	0	6	14	1	0	28	2404
0.603	1	0	1	2	60	7	0	6	7	15	1	0	28	2806
0.604	1	0	2	1	60	8	0	0	6	15	1	0	28	2404
0.604	1	0	1	2	60	8	0	6	7	14	1	0	28	2806
0.608	1	0	2	1	61	2	0	0	6	14	1	0	28	2404
0.608	1	0	1	2	61	2	0	6	7	15	1	0	28	2806
0.609	1	0	2	1	61	3	0	0	6	15	1	0	28	2404
0.609	1	0	1	2	61	3	0	6	7	14	1	0	28	2806
0.613	1	0	2	1	61	7	0	0	6	14	1	0	28	2404
0.613	1	0	1	2	61	7	0	6	7	15	1	0	28	2806
0.614	1	0	2	1	61	8	0	0	6	15	1	0	28	2404
0.614	1	0	1	2	61	8	0	6	7	14	1	0	28	2806
0.618	1	0	2	1	62	2	0	0	6	14	1	0	28	2404
0.618	1	0	1	2	62	2	0	6	7	15	1	0	28	2806
0.619	1	0	2	1	62	3	0	0	6	15	1	0	28	2404
0.619	1	0	1	2	62	3	0	6	7	14	1	0	28	2806
0.623	1	0	2	1	62	7	0	0	6	14	1	0	28	2404
0.623	1	0	1	2	62	7	0	6	7	15	1	0	28	2806
0.624	1	0	2	1	62	8	0	0	6	15	1	0	28	2404
0.624	1	0	1	2	62	8	0	6	7	14	1	0	28	2806
0.628	1	0	2	1	63	2	0	0	6	14	1	0	28	2404
0.628	1	0	1	2	63	2	0	6	7	15	1	0	28	2806
0.629	1	0	2	1	63	3	0	0	6	15	1	0	28	2404
0.629	1	0	1	2	63	3	0	6	7	14	1	0	28	2806
0.633	1	0	2	1	63	7	0	0	6	14	1	0	28	2404
0.633	1	0	1	2	63	7	0	6	7	15	1	0	28	2806
0.634	1	0	2	1	63	8	0	0	6	15	1	0	28	2404
0.634	1	0	1	2	63	8	0	6	7	14	1	0	28	2806
0.638	1	0	2	1	64	2	0	0	6	14	1	0	28	2404
0.638	1	0	1	2	64	2	0	6	7	15	1	0	28	2806
0.639	1	0	2	1	64	3	0	0	6	15	1	0	28	2404
0.639	1	0	1	2	64	3	0	6	7	14	1	0	28	2806
0.643	1	0	2	1	64	7	0	0	6	14	1	0	28	2404
0.643	1	0	1	2	64	7	0	6	7	15	1	0	28	2806
0.644	1	0	2	1	64	8	0	0	6	15	1	0	28	2404
0.644	1	0	1	2	64	8	0	6	7	14	1	0	28	2806
0.648	1	0	2	1	65	2	0	0	6	14	1	0	28	2404
0.648	1	0	1	2	65	2	0	6	7	15	1	0	28	2806
0.649	1	0	2	1	65	3	0	0	6	15	1	0	28	2404
0.649	1	0	1	2	65	3	0	6	7	14	1	0	28	2806
0.653	1	0	2	1	65	7	0	0	6	14	1	0	28	2404
0.653	1	0	1	2	65	7	0	6	7	15	1	0	28	2806
0.654	1	0	2	1	65	8	0	0	6	15	1	0	28	2404
0.654	1	0	1	2	65	8	0	6	7	14	1	0	28	2806
0.658	1	0	2	1	66	2	0	0	6	14	1	0	28	2404
0.658	1	0	1	2	66	2	0	6	7	15	1	0	28	2806
0.659	1	0	2	1	66	3	0	0	6	15	1	0	28	2404
0.659	1	0	1	2	66	3	0	6	7	14	1	0	28	2806
0.663	1	0	2	1	66	7	0	0	6	14	1	0	28	2404
0.663	1	0	1	2	66	7	0	6	7	15	1	0	28	2806
0.664	1	0	2	1	66	8	0	0	6	15	1	0	28	2404
0.664	1	0	1	2	66	8	0	6	7	14	1	0	28	2806
