% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.933	1	0	1	2	93	7	0	6	7	15	1	0	28	2806
0.934	1	0	2	1	93	8	0	0	6	15	1	0	28	2404
0.934	1	0	1	2	93	8	0	6	7	14	1	0	28	2806
0.938	1	0	2	1	94	2	0	0	6	14	1	0	28	2404
0.938	1	0	1	2	94	2	0	6	7	15	1	0	28	2806
0.939	1	0	2	1	94	3	0	0	6	15	1	0	28	2404
0.939	1	0	1	2	94	3	0	6	7	14	1	0	28	2806
0.943	1	0	2	1	94	7	0	0	6	14	1	0	28	2404
0.943	1	0	1	2	94	7	0	6	7	15	1	0	28	2806
0.944	1	0	2	1	94	8	0	0	6	15	1	0	28	2404
0.944	1	0	1	2	94	8	0	6	7	14	1	0	28	2806
0.948	1	0	2	1	95	2	0	0	6	14	1	0	28	2404
0.948	1	0	1	2	95	2	0	6	7	15	1	0	28	2806
0.949	1	0	2	1	95	3	0	0	6	15	1	0	28	2404
0.949	1	0	1	2	95	3	0	6	7	14	1	0	28	2806
0.953	1	0	2	1	95	7	0	0	6	14	1	0	28	2404
0.953	1	0	1	2	95	7	0	6	7	15	1	0	28	2806
0.954	1	0	2	1	95	8	0	0	6	15	1	0	28	2404
0.954	1	0	1	2	95	8	0	6	7	14	1	0	28	2806
0.958	1	0	2	1	96	2	0	0	6	14	1	0	28	2404
0.958	1	0	1	2	96	2	0	6	7	15	1	0	28	2806
0.959	1	0	2	1	96	3	0	0	6	15	1	0	28	2404
0.959	1	0	1	2	96	3	0	6	7	14	1	0	28	2806
0.963	1	0	2	1	96	7	0	0	6	14	1	0	28	2404
0.963	1	0	1	2	96	7	0	6	7	15	1	0	28	2806
0.964	1	0	2	1	96	8	0	0	6	15	1	0	28	2404
0.964	1	0	1	2	96	8	0	6	7	14	1	0	28	2806
0.968	1	0	2	1	97	2	0	0	6	14	1	0	28	2404
0.968	1	0	1	2	97	2	0	6	7	15	1	0	28	2806
0.969	1	0	2	1	97	3	0	0	6	15	1	0	28	2404
0.969	1	0	1	2	97	3	0	6	7	14	1	0	28	2806
0.973	1	0	2	1	97	7	0	0	6	14	1	0	28	2404
0.973	1	0	1	2	97	7	0	6	7	15	1	0	28	2806
0.974	1	0	2	1	97	8	0	0	6	15	1	0	28	2404
0.974	1	0	1	2	97	8	0	6	7	14	1	0	28	2806
0.978	1	0	2	1	98	2	0	0	6	14	1	0	28	2404
0.978	1	0	1	2	98	2	0	6	7	15	1	0	28	2806
0.979	1	0	2	1	98	3	0	0	6	15	1	0	28	2404
0.979	1	0	1	2	98	3	0	6	7	14	1	0	28	2806
0.983	1	0	2	1	98	7	0	0	6	14	1	0	28	2404
0.983	1	0	1	2	98	7	0	6	7	15	1	0	28	2806
0.984	1	0	2	1	98	8	0	0	6	15	1	0	28	2404
0.984	1	0	1	2	98	8	0	6	7	14	1	0	28	2806
0.988	1	0	2	1	99	2	0	0	6	14	1	0	28	2404
0.988	1	0	1	2	99	2	0	6	7	15	1	0	28	2806
0.989	1	0	2	1	99	3	0	0	6	15	1	0	28	2404
0.989	1	0	1	2	99	3	0	6	7	14	1	0	28	2806
0.993	1	0	2	1	99	7	0	0	6	14	1	0	28	2404
0.993	1	0	1	2	99	7	0	6	7	15	1	0	28	2806
0.994	1	0	2	1	99	8	0	0	6	15	1	0	28	2404
0.994	1	0	1	2	99	8	0	6	7	14	1	0	28	2806
0.998	1	0	2	1	100	2	0	0	6	14	1	0	28	2404
0.998	1	0	1	2	100	2	0	6	7	15	1	0	28	2806
0.999	1	0	2	1	100	3	0	0	6	15	1	0	28	2404
0.999	1	0	1	2	100	3	0	6	7	14	1	0	28	2806
