1	1.05	0	0	0	-nan
1	1.1	1260	1	55	-nan
1	1.15	1260	1	55	-nan
1	1.2	9838	7	55	0
1	1.25	9838	7	55	0
3	1.25	0	0	0	-nan
1	1.3	18989	14	67	0
3	1.3	51	1	54	-nan
1	1.35	25172	20	53	0
3	1.35	51	1	54	-nan
1	1.4	25227	21	53	0
3	1.4	51	1	54	-nan
1	1.45	25400	24	53	0
3	1.45	4711	6	54	0
1	1.5	25460	25	53	0
3	1.5	4711	6	54	0
1	1.55	25642	28	53	0
3	1.55	4711	6	54	0
1	1.6	27226	30	53	0
3	1.6	4711	6	54	0
1	1.65	27288	31	53	0
3	1.65	4711	6	54	0
1	1.7	28874	33	55	0
3	1.7	4711	6	54	0
1	1.75	28938	34	53	0
3	1.75	4711	6	54	0
1	1.8	29064	36	53	0
3	1.8	4711	6	54	0
1	1.85	29064	36	53	0
3	1.85	4711	6	54	0
1	1.9	29128	37	53	0
3	1.9	4711	6	54	0
1	1.95	29261	39	53	0
3	1.95	4711	6	54	0
1	2	29325	40	53	0
3	2	4711	6	54	0
1	2.05	29386	41	53	0
3	2.05	4711	6	54	0
1	2.1	29386	41	53	0
3	2.1	4711	6	54	0
1	2.15	29450	42	53	0
3	2.15	4711	6	54	0
1	2.2	29514	43	53	0
3	2.2	4711	6	54	0
1	2.25	29578	44	53	0
3	2.25	4711	6	54	0
1	2.3	29642	45	53	0
3	2.3	4711	6	54	0
1	2.35	29642	45	53	0
3	2.35	4711	6	54	0
1	2.4	29706	46	53	0
3	2.4	4711	6	54	0
1	2.45	29770	47	53	0
3	2.45	4711	6	54	0
1	2.5	29770	47	53	0
3	2.5	4711	6	54	0
1	2.55	29834	48	53	0
3	2.55	4711	6	54	0
1	2.6	29903	49	53	0
3	2.6	4711	6	54	0
1	2.65	29967	50	53	0
3	2.65	4711	6	54	0
1	2.7	30031	51	53	0
3	2.7	4711	6	54	0
1	2.75	30031	51	53	0
3	2.75	4711	6	54	0
1	2.8	30095	52	53	0
3	2.8	4711	6	54	0
1	2.85	30159	53	53	0
3	2.85	4711	6	54	0
1	2.9	30159	53	53	0
3	2.9	4711	6	54	0
1	2.95	30223	54	53	0
3	2.95	4711	6	54	0
1	3	30287	55	53	0
3	3	4711	6	54	0
1	3.05	30351	56	53	0
3	3.05	4711	6	54	0
1	3.1	30415	57	51	0
3	3.1	4711	6	54	0
1	3.15	30415	57	51	0
3	3.15	4711	6	54	0
1	3.2	30479	58	51	0
3	3.2	4711	6	54	0
1	3.25	30545	59	51	0
3	3.25	4711	6	54	0
1	3.3	30616	60	51	0
3	3.3	4711	6	54	0
1	3.35	30682	61	51	0
3	3.35	4711	6	54	0
