[0/2] Re-checking globbed directories...
ninja: no work to do.
1.05297	0	0	0	0	
1.15601	0	1200	1200	0	
1.15775	0	2400	2400	0	
1.15983	1	0	0	0	
1.16193	1	1456	1456	0	
1.16193	1	1460	1460	0	
1.16647	1	2905	2905	0	
1.16647	1	2920	2920	0	
1.17647	1	4354	4354	0	
1.17647	1	4380	4380	0	
1.26915	1	5803	5803	0	
1.26915	1	5840	5840	0	
1.27157	1	7252	7252	0	
1.27157	1	7300	7300	0	
1.27399	1	8701	8701	0	
1.27399	1	8760	8760	0	
1.27641	1	10150	10150	0	
1.27641	1	10220	10220	0	
1.27883	1	11598	11598	0	
1.27883	1	11680	11680	0	
1.28125	1	13046	13046	0	
1.28125	1	13140	13140	0	
1.28916	1	14494	14494	0	
1.28916	1	14600	14600	0	
1.29158	1	15942	15942	0	
1.29158	1	16060	16060	0	
1.29916	1	17390	17390	0	
1.29916	1	17520	17520	0	
1.31416	1	18834	18834	0	
1.31416	1	18980	18980	0	
1.38069	1	20278	20278	0	
1.38069	1	20440	20440	0	
1.38312	1	21722	21722	0	
1.38312	1	21900	21900	0	
1.38555	1	23166	23166	0	
1.38555	1	23360	23360	0	
1.38798	1	24610	24610	0	
1.38798	1	24820	24820	0	
1.39041	1	26054	26054	0	
1.39041	1	26280	26280	0	
1.39283	1	27498	27498	0	
1.39283	1	27740	27740	0	
1.39526	1	28942	28942	0	
1.39526	1	29200	29200	0	
1.39769	1	30386	30386	0	
1.39769	1	30660	30660	0	
1.40012	1	31830	31830	0	
1.40012	1	32120	32120	0	
1.40255	1	33274	33274	0	
1.40255	1	33580	33580	0	
1.40497	1	34718	34718	0	
1.40497	1	35040	35040	0	
1.40749	1	36162	36162	0	
1.40749	1	36500	36500	0	
1.40992	1	37606	37606	0	
1.40992	1	37960	37960	0	
1.41234	1	39050	39050	0	
1.41234	1	39420	39420	0	
1.41985	1	40494	40494	0	
1.41985	1	40880	40880	0	
1.42228	1	41938	41938	0	
1.42228	1	42340	42340	0	
1.42486	1	43382	43382	0	
1.42486	1	43800	43800	0	
1.42729	1	44826	44826	0	
1.42729	1	45260	45260	0	
1.49211	1	46270	46270	0	
1.49211	1	46720	46720	0	
1.49439	1	47714	47714	0	
1.49439	1	48180	48180	0	
1.49667	1	49158	49158	0	
1.49667	1	49640	49640	0	
1.49895	1	50602	50602	0	
1.49895	1	51100	51100	0	
1.50123	1	52046	52046	0	
1.50123	1	52560	52560	0	
1.50352	1	53490	53490	0	
1.50352	1	54020	54020	0	
1.5058	1	54934	54934	0	
1.5058	1	55480	55480	0	
1.50808	1	56378	56378	0	
1.50808	1	56940	56940	0	
1.51036	1	57822	57822	0	
1.51036	1	58400	58400	0	
1.51264	1	59266	59266	0	
1.51264	1	59860	59860	0	
1.51492	1	60710	60710	0	
1.51492	1	61320	61320	0	
1.5172	1	62154	62154	0	
1.5172	1	62780	62780	0	
1.51956	1	63598	63598	0	
1.51956	1	64240	64240	0	
1.52184	1	65042	65042	0	
1.52184	1	65700	65700	0	
1.52412	1	66486	66486	0	
1.52412	1	67160	67160	0	
1.5264	1	67930	67930	0	
1.5264	1	68620	68620	0	
1.52868	1	69374	69374	0	
1.52868	1	70080	70080	0	
1.53096	1	70818	70818	0	
1.53096	1	71540	71540	0	
1.53323	1	72262	72262	0	
1.53323	1	73000	73000	0	
1.53552	1	73706	73706	0	
1.53552	1	74460	74460	0	
1.5378	1	75150	75150	0	
1.5378	1	75920	75920	0	
1.54008	1	76594	76594	0	
1.54008	1	77380	77380	0	
1.54236	1	78038	78038	0	
1.54236	1	78840	78840	0	
1.54464	1	79482	79482	0	
1.54464	1	80300	80300	0	
1.54691	1	80926	80926	0	
1.54691	1	81760	81760	0	
1.54919	1	82370	82370	0	
1.54919	1	83220	83220	0	
1.5534	1	83814	83814	0	
1.5534	1	84680	84680	0	
1.55558	1	85258	85258	0	
1.55558	1	86140	86140	0	
1.55777	1	86702	86702	0	
1.55777	1	87600	87600	0	
1.55989	1	88146	88146	0	
1.55989	1	89060	89060	0	
1.562	1	89590	89590	0	
1.562	1	90520	90520	0	
1.56412	1	91034	91034	0	
1.56412	1	91980	91980	0	
1.56623	1	92478	92478	0	
1.56623	1	93440	93440	0	
1.56834	1	93922	93922	0	
1.56834	1	94900	94900	0	
1.57045	1	95366	95366	0	
1.57045	1	96360	96360	0	
1.57256	1	96810	96810	0	
1.57256	1	97820	97820	0	
1.57467	1	98254	98254	0	
1.57467	1	99280	99280	0	
1.57687	1	99698	99698	0	
1.57687	1	100740	100740	0	
1.60106	1	101142	101142	0	
1.60106	1	102200	102200	0	
1.60317	1	102586	102586	0	
1.60317	1	103660	103660	0	
1.60528	1	104030	104030	0	
1.60528	1	105120	105120	0	
1.6074	1	105474	105474	0	
1.6074	1	106580	106580	0	
1.6099	1	106918	106918	0	
1.6099	1	108040	108040	0	
1.61202	1	108362	108362	0	
1.61202	1	109500	109500	0	
1.61413	1	109806	109806	0	
1.61413	1	110960	110960	0	
1.61624	1	111250	111250	0	
1.61624	1	112420	112420	0	
1.61835	1	112694	112694	0	
1.61835	1	113880	113880	0	
1.62046	1	114138	114138	0	
1.62046	1	115340	115340	0	
1.62266	1	115582	115582	0	
1.62266	1	116800	116800	0	
1.62477	1	117026	117026	0	
1.62477	1	118260	118260	0	
1.62688	1	118470	118470	0	
1.62688	1	119720	119720	0	
1.629	1	119914	119914	0	
1.629	1	121180	121180	0	
1.63111	1	121358	121358	0	
1.63111	1	122640	122640	0	
1.63322	1	122802	122802	0	
1.63322	1	124100	124100	0	
1.63533	1	124246	124246	0	
1.63533	1	125560	125560	0	
1.63744	1	125690	125690	0	
1.63744	1	127020	127020	0	
1.63956	1	127134	127134	0	
1.63956	1	128480	128480	0	
1.64167	1	128578	128578	0	
1.64167	1	129940	129940	0	
1.64378	1	130022	130022	0	
1.64378	1	131400	131400	0	
1.6459	1	131466	131466	0	
1.6459	1	132860	132860	0	
1.64809	1	132910	132910	0	
1.64809	1	134320	134320	0	
1.6502	1	134354	134354	0	
